Index,NOTAM_ID,Station,Airport_Name,Level,Category,Is_Shaded,Shade_Reason,Valid_Period,Summary_KO,Action_Tip_KO,Raw_Text
1,RKSI A1024/26,RKSI,인천국제공항 (Incheon Intl) [RKSI],CRITICAL,RUNWAY,NO,,10AUG26 00:00 ~ 31AUG26 23:59,[RKSI] 활주로 15L/33R 공사/정비로 인한 일시 폐쇄.,⚠️ 사용 가능 활주로(TORA/LDA) 사전 확인 및 출발/접근 브리핑 시 활주로 배정 상태 필히 재확인.,10AUG26 00:00 - 31AUG26 23:59 RKSI A1024/26 E) RWY 15L/33R CLSD DUE TO WIP
2,RKSI A1025/26,RKSI,인천국제공항 (Incheon Intl) [RKSI],CAUTION,TAXIWAY,NO,,10AUG26 00:00 ~ 15SEP26 23:59,"[RKSI] 유도로 M1, M2 구간 공사/점검으로 폐쇄.",지상 활주(Taxi) 시 우회 경로 숙지 및 지상 관제 지시(Hold Short/Taxi Route) 철저 준수.,"10AUG26 00:00 - 15SEP26 23:59 RKSI A1025/26 E) TWY M1, M2 BTN RWY 15L AND TWY R CLSD DUE TO PAVEMENT WORK"
3,RKSI A1028/26,RKSI,인천국제공항 (Incheon Intl) [RKSI],CRITICAL,NAVAID,NO,,10AUG26 01:00 ~ 30SEP26 12:00,[RKSI] 글라이드패스 (GP) 정비/결함으로 일시 운용 불능 (U/S).,"🚨 정밀접근(CAT II/III) 불가 여부 확인, 비정밀접근(RNP/VOR/LOC Only) 최저치(Minima) 및 연료 대비.",10AUG26 01:00 - 30SEP26 12:00 RKSI A1028/26 E) ILS RWY 15R GP U/S DUE TO SCHEDULED MAINT
4,RKSI A0912/26,RKSI,인천국제공항 (Incheon Intl) [RKSI],INFO,OBSTACLE,NO,,01AUG26 00:00 ~ 31DEC26 23:59,[RKSI] 공항 인근 크레인/구조물 장애물 설치 (최고 높이 185FT).,이착륙 경로 상 장애물 여부 및 시계 접근 시 주의.,01AUG26 00:00 - 31DEC26 23:59 RKSI A0912/26 E) OBST CRANE ERECTED AT 372832N 1262645E HGT 185FT AMSL LGTD
5,RKSI A0800/26,RKSI,인천국제공항 (Incheon Intl) [RKSI],SHADED,PROCEDURE,YES,AIP SUP / AIRAC 최신 차트 기 반영 항목,01AUG26 00:00 ~ 31AUG26 23:59,[RKSI] AIP SUP / AIRAC 개정 사항 사전 고시 (Trigger NOTAM).,차트 개정판 기 반영 여부 확인 (일반 운항 시 추가 조치 불요).,01AUG26 00:00 - 31AUG26 23:59 RKSI A0800/26 E) TRIGGER NOTAM - AIP SUP 12/26 WEF 10AUG26 AIRAC AMDT
6,KLAX A4510/26,KLAX,로스앤젤레스 국제공항 (Los Angeles Intl) [KLAX],CRITICAL,RUNWAY,NO,,09JUL26 12:00 ~ 30SEP26 23:59,[KLAX] 활주로 07L/25R 공사/정비로 인한 일시 폐쇄.,⚠️ 사용 가능 활주로(TORA/LDA) 사전 확인 및 출발/접근 브리핑 시 활주로 배정 상태 필히 재확인.,09JUL26 12:00 - 30SEP26 23:59 KLAX A4510/26 E) RWY 07L/25R CLSD DAILY 0600-1400Z DUE TO LIGHTING MAINT
7,KLAX A4522/26,KLAX,로스앤젤레스 국제공항 (Los Angeles Intl) [KLAX],CAUTION,LIGHTING,NO,,12JUL26 08:00 ~ 15OCT26 23:59,[KLAX] 정밀진입각지시등 (PAPI) 운용 불능 (U/S) 또는 점검 중.,야간/저시정 접근 시 시각 참조 제한 유의 및 기상 최저치(Vis/RVR) 증가 여부 점검.,12JUL26 08:00 - 15OCT26 23:59 KLAX A4522/26 E) RWY 24R PAPI U/S
8,KLAX A4301/26,KLAX,로스앤젤레스 국제공항 (Los Angeles Intl) [KLAX],INFO,RUNWAY,NO,,05JUL26 00:00 ~ 05AUG26 23:59,[KLAX] 공항 반경 내 조류 집중 서식/활동 주의보.,"이착륙 시 윈드실드/엔진 조류 충돌(Bird Strike) 경계, 조명(Landing Light) 활용 점등 권장.",05JUL26 00:00 - 05AUG26 23:59 KLAX A4301/26 E) BIRD ACTIVITY INCREASED VICINITY OF RWY 25L/25R
9,KSAN A1102/26,KSAN,샌디에이고 국제공항 (San Diego Intl) [KSAN],CAUTION,TAXIWAY,NO,,01AUG26 00:00 ~ 31AUG26 23:59,[KSAN] 유도로 B 구간 공사/점검으로 폐쇄.,지상 활주(Taxi) 시 우회 경로 숙지 및 지상 관제 지시(Hold Short/Taxi Route) 철저 준수.,01AUG26 00:00 - 31AUG26 23:59 KSAN A1102/26 E) TWY B CLSD BTN TWY C AND TWY D
10,PANC A4415/26,PANC,앵커리지 테드 스티븐스 공항 (Ted Stevens ANC) [PANC],CAUTION,LIGHTING,NO,,09JUL26 12:05 ~ 30SEP27 12:05,[PANC] 정밀진입각지시등 (PAPI) 운용 불능 (U/S) 또는 점검 중.,야간/저시정 접근 시 시각 참조 제한 유의 및 기상 최저치(Vis/RVR) 증가 여부 점검.,09JUL26 12:05 - 30SEP27 12:05 PANC A4415/26 E) RWY 15 PAPI U/S
